Timestamp,Index,Environment,FilterLogType,Failure_Tag,MuleMessage.message,MuleMessage.applicationName,MuleMessage.metadata.universalCorrelationId,targetSystem,businessKeys
"2026-03-16T08:39:37.164487997Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:39:38.793150540Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:39:38.836841887Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:39:45.245977496Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:39:45.673561002Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:39:46.830283227Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:39:50.583135321Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:39:59.163527360Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:39:59.303444577Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:40:00.696658887Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:40:00.838213277Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:40:01.083219705Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:40:01.579197868Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:40:01.658417569Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:40:11.307757120Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:40:11.738636929Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:40:11.785885194Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:40:11.863598451Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:40:11.868718535Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:40:21.254624655Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:40:23.778274894Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:40:25.603178060Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:40:25.603539428Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:40:25.956216027Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:40:32.309749626Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
